Var1,Freq
專長術科:足球,1
專案執行及企劃,1
專項有氧教學實作,1
專業體育記者,1
排舞,1
探索教育,1
接觸即興,1
接觸即興技巧,1
教育心理學,1
教育哲學,1
教學,1
現代,1
現代性與臺灣當代舞蹈研究,1
現代舞史,1
現代舞技巧課,1
現代舞進階,1
現代舞蹈,1
現代舞蹈技巧,1
球類教學,1
球類運動-排球,1
球類競賽實務,1
統計,1
術科跆拳道,1
軟網,1
野外醫療處理,1
野生動植物辯識,1
創造性舞蹈動作元素,1
創意思考與實踐﹑適應體育班﹑有氧瑜珈﹑服務學習,1
復健,1
復健醫學,1
棒(壘)球,1
棒球﹑羽球﹑體育,1
棒球運動,1
棒壘球訓練,1
殘障運動,1
毯子功,1
游泳運動,1
游泳運動賽會管理,1
登山教育,1
登山學,1
登山露營,1
程式語言,1
策展,1
策略管理,1
街舞,1
街頭舞蹈,1
裁判,1
裁判學,1
跆拳道專項研究,1
傳統音樂,1
感知運動控制,1
新聞傳播,1
新聞傳播法制,1
新聞編輯,1
會計學,1
極限運動,1
獅藝,1
當代舞教學,1
當代舞蹈中階,1
當代舞蹈技巧教學,1
當代舞蹈高階,1
節奏訓練,1
腦血管致病機轉之探討及應用,1
解剖動力學,1
資料庫系統,1
資訊工程,1
跳水,1
運動力學,1
運動公關經營策略,1
運動公關與傳播,1
運動心生理學,1
運動心理,1
運動心理學研究,1
運動心理諮詢,1
運動文化,1
運動日語,1
運動生化學,1
運動生化營養學,1
運動生物力學及實驗,1
運動生物力學研究,1
運動生物化學及營養生物化學,1
運動生理學﹑籃球,1
運動生理學研究,1
運動生理學領域,1
運動企劃經營與管理,1
運動休閒心理學,1
運動休閒社會學,1
運動休閒設施規劃,1
運動行為,1
運動行銷管理學,1
運動免疫學,1
運動技術專題研究,1
運動技術模式分析,1
運動身體解剖學,1
運動治理與政策關係研究,1
運動法律,1
運動促進,1
運動保建與傷害防治,1
運動保健學研究,1
運動政治學,1
運動政策分析,1
運動政策研究,1
運動科學導論,1
運動科學導論﹑運動傷害預防與處理﹑運動貼紮,1
運動俱樂部經營管理,1
運動時勢議題專題研究,1
運動消費行為,1
運動能量代謝,1
運動訓練及教練學,1
運動訓練法﹑競技體能訓練研究﹑運動訓練法研究,1
運動訓練理論與實務,1
運動訓練與指導,1
運動動機心理理論與實際,1
運動專長訓練(棒球),1
運動專長訓練(籃球),1
運動推拿指壓學,1
運動教育研究法,1
運動教練心理學,1
運動教練理論與實際,1
運動教學法,1
運動產業,1
運動產業經營管理,1
運動組織行為,1
運動組織經營管理,1
運動處方與體適能,1
運動設施及行政管理,1
運動場地規劃,1
運動裁判,1
運動評量,1
運動傷害,1
運動傷害物理治療學,1
運動傷害評估與復健,1
運動傷害評估學,1
運動傷害與保健,1
運動經濟,1
運動解剖學,1
運動資訊,1
運動資訊管理,1
運動團隊管理與領導,1
運動管理行銷理論與實務,1
運動管理訓練學,1
運動管理專業實習,1
運動管理與實務專題研究,1
運動與代謝性疾病,1
運動與休閒行銷,1
運動與休閒社會學,1
運動與休閒美學,1
運動與休閒專題講座,1
運動與休閒產業經營管理,1
運動與注意力專題,1
運動與健康,1
運動與體育行政,1
運動儀器技術研發,1
運動養生,1
運動器材,1
運動器材設計,1
運動學習與控制,1
運動選材學,1
運動營養,1
運動營養生化學,1
運動賽會管理行銷,1
運動贊助,1
運動競技心理學,1
運動競技史,1
運動競技指導原理,1
運動競賽活動計畫與實習,1
運動體適能,1
運動觀光休閒,1
電子合成樂,1
電子科技應用,1
電視預告片製作,1
電腦化系統觀察程式,1
團康活動規劃,1
團隊運動,1
實習,1
榮總主治醫師,1
滾球,1
演出製作,1
監獄學,1
管理,1
管理心理學,1
管理心理學研究,1
網頁語言,1
網球訓練與指導,1
網球運動技術分析,1
臺灣原住民舞蹈,1
臺灣體育史,1
舞台表演與戲劇,1
舞蹈及攀岩專長,1
舞蹈名作音樂導聆,1
舞蹈即興,1
舞蹈技巧與創作,1
舞蹈表演技法-芭蕾Ⅰ,1
舞蹈表演技法-芭蕾I,1
舞蹈表演技法-當代Ⅰ,1
舞蹈表演技法-當代Ⅳ,1
舞蹈表演專題研究Ⅱ,1
舞蹈研究,1
舞蹈美學,1
舞蹈音樂伴奏,1
舞蹈哲學,1
舞蹈理論,1
舞蹈與多媒體運用,1
舞蹈與服飾,1
舞蹈與音樂關係研究,1
舞蹈劇場實務,1
舞蹈劇場燈光設計,1
舞蹈編劇,1
舞蹈賞析,1
舞蹈導論,1
舞蹈鋼琴伴奏,1
舞蹈類,1
製作,1
語言習得,1
語言學,1
語音學,1
輔具開發,1
