R_stu,I_stu,A_stu,S_stu,E_stu,C_stu,R_voc,I_voc,A_voc,S_voc,E_voc,C_,Hitrate,Firstcodepercentage,Twocodespercentage,Decliningrate,Delayrate,StudySuspensionrate,TotalSuspensionrate,Dropoutrate,Dropoutrate_interest,dropoutrateduetointerest,salaryafter3yr_00schyr_master,salaryafter3yr_00schyr_bachelor,emplorateafter3yr_00schyr_master,emplorateafter3yr_00schyr_bachelor,emplorateGrowthratebysch,salarychangesbysch,emplorateGrowthratebysyr,salarychangesbyyr,salary_mas_vs_bach,emplorate_mas_vs_bach
0,0,1,1,0,0,0,0,1,0,1,1,3,0.31,0.19,0.018277428,0.04245283,0.016891892,0.048423423,0.043918919,0.040540541,0.01463964,45886,31111,0.8489,0.8639,0.0657,217.67,0.046,2670,1.47491241,0.982636879
0,0,1,1,0,0,0,0,1,1,1,1,4,0.27,0.15,0.316009558,0.100719424,0.019354839,0.04516129,0.110062893,0.097484277,0.053459119,45886,31111,0.8489,0.8639,0.0657,217.67,0.046,2670,1.47491241,0.982636879
0,0,1,1,0,0,0,0,1,1,0,0,6,0.36,0.21,0.001501537,0.077745384,0.051546392,0.075445173,0.03527074,0.032290114,0.007451565,55646,32146,0.8457,0.8159,0.0163,326.25,0.0154,2303,1.731039632,1.036524084
1,1,0,0,0,0,1,1,0,0,0,0,6,0.44,0.44,-0.174583976,0.060465116,0.034146341,0.058536585,0.058536585,0.058536585,0.029268293,56995,34438,0.9652,0.8212,-0.0127,7497.5,0.0083,5098,1.655003194,1.175353142
0,0,1,1,0,0,0,0,1,1,0,0,6,0.42,0.19,0.017565768,0.037878788,0.034974093,0.06865285,0.019323671,0.016908213,0.002415459,51172,32392,0.9478,0.8054,-0.0158,1138.75,0.0196,1348,1.579772783,1.176806556
0,0,1,1,0,0,0,0,1,0,1,1,3,0.31,0.19,-0.011431631,0.04940849,0.038987688,0.075239398,0.021448664,0.021097046,0.004219409,45886,31111,0.8489,0.8639,0.0657,217.67,0.046,2670,1.47491241,0.982636879
0,0,0,1,1,1,0,0,0,0,1,1,5,0.71,0.54,-0.060722312,0.024979184,0.021703522,0.038493038,0.015733457,0.015733457,0.003239241,48024,30451,0.9222,0.8843,-0.0123,345.17,0.034,3898,1.577091064,1.042858758
0,0,1,1,1,1,0,0,0,0,1,1,4,0.36,0.21,-0.01217781,0.011185682,0.056473214,0.111160714,0.021646179,0.020844468,0.002405131,74074,34554,0.8597,0.6386,0.0225,-59,0.024,4410,2.143717081,1.34622612
1,1,0,0,0,0,1,1,0,0,0,0,6,0.77,0.69,-0.060737092,0.09047619,0.037905851,0.040168294,0.047511312,0.045248869,0.00678733,60185,36818,0.9085,0.7526,0.03,591.67,0.0165,7399,1.634662393,1.207148552
0,0,0,1,1,1,0,1,0,1,0,0,3,0.59,0.18,-0.032412032,0.051724138,0.046251994,0.066188198,0.016155089,0.01453958,0,47556,32770,0.9697,0.91,-0.0026,2042.25,0.0043,2519,1.451205371,1.065604396
0,0,1,1,1,0,0,0,1,1,0,0,5,0.39,0.22,-0.002954186,0.051756007,0.03502627,0.050788091,0.021455224,0.020522388,0.005597015,67037,32953,0.9112,0.8466,0.0008,3663.33,0.0062,2950,2.03432161,1.076305221
0,0,0,1,1,0,0,0,1,0,1,0,4,0.33,0.22,-0.010539013,0.081439394,0.04587156,0.078899083,0.035087719,0.032317636,0.007386888,48173,36402,0.8182,0.7395,0.044,1725.33,0.019,3208,1.323361354,1.106423259
0,0,1,1,0,0,0,0,1,1,1,1,4,0.27,0.15,0.010973227,0.068599034,0.031954887,0.057800752,0.025118483,0.024170616,0.006161137,45886,31111,0.8489,0.8639,0.0657,217.67,0.046,2670,1.47491241,0.982636879
0,0,1,1,0,0,0,0,1,0,1,0,4,0.5,0.5,0.005628471,0.047486034,0.051288957,0.090675901,0.023569024,0.021885522,0,50582,33165,0.7902,0.6371,0.0067,-772,0.028,1636,1.525162068,1.240307644
0,0,1,1,0,0,0,0,1,1,0,0,6,0.64,0.36,-0.04271978,0.052264808,0.063793103,0.09137931,0.04,0.04,0.007272727,55445,35148,0.8462,0.8071,-0.0214,4103.5,0.0025,2730,1.577472402,1.04844505
0,1,0,0,1,1,0,0,0,0,1,1,5,0.5,0.31,-0.036877153,0.039794608,0.030051151,0.058184143,0.023082145,0.021724372,0.004752206,44773,35586,0.9474,0.8712,-0.0603,-7718.33,0.0126,3965,1.258163323,1.087465565
0,0,0,0,1,1,0,0,0,0,1,1,6,0.62,0.49,-0.027916617,0.017857143,0.03115942,0.055797101,0.028571429,0.026285714,0.005714286,46158,30649,0.9365,0.8898,0.0182,-2168.33,0.0426,2142,1.506019772,1.052483704
1,1,0,0,0,0,1,1,0,0,0,0,6,0.33,0.33,-0.021389114,0.067460317,0.058912548,0.092810853,0.033039648,0.033039648,0.015418502,43136,32897,0.9221,0.7895,-0.0125,-1859.5,0.0223,4370,1.311244186,1.167954402
0,0,0,0,1,1,0,0,0,0,1,1,6,0.65,0.57,-0.037913444,0.035528596,0.014066496,0.029411765,0.011792453,0.011320755,0.002358491,45863,33294,0.9381,0.9083,0.0092,947.33,0.036,3579,1.377515468,1.032808543
0,0,0,0,1,1,0,0,0,0,1,1,6,0.36,0.36,0.00962454,0.035846724,0.022586469,0.038185491,0.021935484,0.020645161,0.00516129,47891,35605,0.9136,0.8507,-0.0288,3054.75,0.0033,4175,1.345063896,1.073939109
1,0,0,0,0,1,0,1,0,0,0,1,4,0.44,0.25,-0.090765541,0.045454545,0.046032014,0.067964308,0.032317636,0.030470914,0.006463527,60184,30676,0.9302,0.8803,0.0231,810,0.0145,2621,1.961924632,1.056685221
0,0,1,1,0,0,0,0,0,0,1,1,2,0.32,0.21,-0.029954428,0.06993007,0.045454545,0.092657343,0.022222222,0.018518519,0.005555556,45886,31111,0.8489,0.8639,0.0657,217.67,0.046,2670,1.47491241,0.982636879
1,1,0,0,0,1,0,1,0,0,0,1,5,0.45,0.25,-0.043637958,0.093220339,0.03187251,0.059760956,0.053648069,0.053648069,0.008583691,50944,33268,0.9042,0.7735,0.1107,-84.75,0.0147,3756,1.53132139,1.168972204
0,0,1,1,1,0,0,0,1,1,0,0,5,0.36,0.27,-0.000182149,0.129139073,0.05017301,0.077854671,0.03887689,0.034557235,0.002159827,48323,32744,0.8476,0.8029,-0.0023,-2966,0.0254,2259,1.475781823,1.055673185
1,0,0,0,1,1,0,0,0,0,1,1,5,0.4,0.33,-0.095740669,0.048951049,0.028440367,0.060550459,0.051535088,0.051535088,0.014254386,56009,30596,0.9583,0.8867,-0.0784,3774,0.0565,4352,1.830598771,1.080748844
0,0,1,0,0,0,0,0,1,0,1,0,5,0.5,0.2,0.029598506,0.071770335,0.029850746,0.126865672,0.04009434,0.030660377,0.011792453,39943,27968,0.8996,0.8815,-0.0097,1840.4,0.0445,3785,1.428167906,1.020533182
0,0,1,1,0,0,0,0,1,1,0,0,6,0.36,0.21,0.026304024,0.048598131,0.032801418,0.093971631,0.04284412,0.040109389,0.012762078,55646,32146,0.8457,0.8159,0.0163,326.25,0.0154,2303,1.731039632,1.036524084
1,1,0,0,0,0,1,1,0,0,0,0,6,0.56,0.33,-0.091914676,0.047619048,0.020153551,0.047024952,0.056508577,0.053481332,0.009081736,54061,35251,0.9551,0.8842,-0.0079,3279.7,0.0558,3865,1.533601884,1.080185478
0,0,1,1,0,0,0,0,1,0,1,1,3,0.31,0.19,-0.003265651,0.065979381,0.024590164,0.068647541,0.022540984,0.017418033,0.00204918,45886,31111,0.8489,0.8639,0.0657,217.67,0.046,2670,1.47491241,0.982636879
0,0,1,1,0,0,0,0,1,1,1,1,4,0.27,0.15,-0.01867361,0.049145299,0.013800425,0.041401274,0.027322404,0.026229508,0.007650273,45886,31111,0.8489,0.8639,0.0657,217.67,0.046,2670,1.47491241,0.982636879
1,1,0,0,0,0,1,1,0,0,0,0,6,0.33,0.33,0.022634887,0.039267016,0.039506173,0.085185185,0.03238342,0.029792746,0.016839378,41235,32106,0.9067,0.6571,0.0225,9128.33,0.024,3242,1.284339376,1.37985086
0,0,1,0,1,1,0,0,0,0,1,1,5,0.56,0.44,0.007698949,0.045296167,0.023659306,0.094637224,0.048543689,0.045307443,0.009708738,47778,32551,0.8642,0.823,0.005,-571.5,0.0165,2697,1.467789008,1.050060753
0,0,1,1,1,1,0,0,0,0,1,1,4,0.36,0.21,0.010534949,0.027842227,0.046631636,0.127692385,0.043937709,0.038932147,0.005005562,74074,34554,0.8597,0.6386,0.0225,-59,0.024,4410,2.143717081,1.34622612
0,0,0,1,1,1,0,1,0,1,0,0,3,0.59,0.18,-0.001894664,0.021138211,0.029826787,0.063775084,0.01600674,0.01600674,0.00336984,47556,32770,0.9697,0.91,-0.0026,2042.25,0.0043,2519,1.451205371,1.065604396
0,0,1,1,1,0,0,0,1,1,0,0,5,0.39,0.22,0.004783592,0.038461538,0.031195841,0.089254766,0.02880288,0.02790279,0.00810081,67037,32953,0.9112,0.8466,0.0008,3663.33,0.0062,2950,2.03432161,1.076305221
1,0,1,0,0,0,0,1,1,1,1,0,2,0.5,0.25,-0.108279419,0.066929134,0.034693878,0.102040816,0.063265306,0.055102041,0.014285714,42786,29201,0.9218,0.8985,0.0483,4174.33,0.0185,2633,1.465223794,1.025932109
0,0,1,1,0,0,1,0,1,0,0,0,4,0.5,0.4,-0.00846906,0.031936128,0.050295858,0.129191321,0.04973545,0.04021164,0.007407407,42788,29187,0.8111,0.7804,-0.0193,-415.5,0.0161,1938,1.465995135,1.039338801
1,1,0,0,0,0,1,1,0,0,0,0,6,0.5,0.5,0.023144055,0.033039648,0.017708333,0.042708333,0.018619934,0.017524644,0.004381161,38367,27171,0.9663,0.865,0.0138,1399.2,0.024,2350,1.412056973,1.117109827
0,0,1,1,0,0,0,0,1,1,0,0,6,0.64,0.36,0.050885919,0.08125,0.057222795,0.121389113,0.059130435,0.053913043,0.017391304,55445,35148,0.8462,0.8071,-0.0214,4103.5,0.0025,2730,1.577472402,1.04844505
1,1,0,0,0,0,1,1,0,0,0,0,6,0.56,0.33,-0.020616039,0.032828283,0.013740711,0.037506484,0.049056604,0.049056604,0.018867925,42664,30968,0.9091,0.7883,0.007,1791,0.0087,2463,1.377680186,1.153241152
0,0,0,0,1,1,0,0,0,0,1,1,6,0.5,0.43,0.003127221,0.034542314,0.018883415,0.036945813,0.020210896,0.019332162,0.001757469,47774,32461,0.9382,0.8844,0.0904,2515.17,0.0345,4297,1.471735313,1.060832203
0,0,0,0,1,1,0,0,0,0,1,1,6,0.62,0.49,-0.014620687,0.041265475,0.014725569,0.03145917,0.010217984,0.010217984,0.004087193,46158,30649,0.9365,0.8898,0.0182,-2168.33,0.0426,2142,1.506019772,1.052483704
0,0,0,0,1,1,0,0,0,0,1,1,6,0.65,0.57,0.000236592,0.021089631,0.022816092,0.052413793,0.025618375,0.022968198,0.003533569,45863,33294,0.9381,0.9083,0.0092,947.33,0.036,3579,1.377515468,1.032808543
0,0,0,0,1,1,0,0,0,0,1,1,6,0.36,0.36,-0.010105073,0.044474394,0.019667611,0.041347769,0.03030303,0.028985507,0.0085639,47891,35605,0.9136,0.8507,-0.0288,3054.75,0.0033,4175,1.345063896,1.073939109
1,1,0,0,0,0,0,1,0,0,0,1,4,0.59,0.32,-0.021559155,0.049327354,0.026458417,0.065013092,0.057971014,0.054919908,0.012204424,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
1,0,0,0,0,1,0,1,0,0,0,1,4,0.44,0.25,0.025656566,0.024647887,0.014084507,0.035211268,0.027777778,0.026041667,0.003472222,60184,30676,0.9302,0.8803,0.0231,810,0.0145,2621,1.961924632,1.056685221
1,1,0,0,0,0,1,1,0,0,0,0,6,0.55,0.46,-0.001328824,0.040498442,0.00204918,0.014344262,0.043643264,0.041745731,0.009487666,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
0,0,1,1,1,0,0,0,0,0,1,1,3,0.28,0.28,-0.08844237,0.027027027,0.018575851,0.037151703,0.026058632,0.026058632,0.003257329,42816,29143,0.961,0.8845,-0.0014,899.5,0.0236,2179,1.469169269,1.086489542
1,1,0,0,0,0,1,1,0,0,0,0,6,0.77,0.69,0.001973775,0.071895425,0.027859238,0.063049853,0.054545455,0.054545455,0.011570248,60185,36818,0.9085,0.7526,0.03,591.67,0.0165,7399,1.634662393,1.207148552
1,1,0,0,0,1,0,1,0,0,0,1,5,0.45,0.25,-0.037775468,0.076530612,0.019823789,0.04845815,0.089635854,0.089635854,0.025210084,50944,33268,0.9042,0.7735,0.1107,-84.75,0.0147,3756,1.53132139,1.168972204
1,1,0,0,0,0,1,1,0,0,0,0,6,0.64,0.55,-0.003765458,0.03307888,0.0250819,0.053508054,0.035479632,0.035479632,0.009198423,44064,28970,0.9532,0.8765,-0.0296,4588.15,0.0466,4716,1.521021747,1.087507131
0,0,0,1,1,1,0,0,0,0,1,1,5,0.71,0.54,-0.036654972,0.011857708,0.022304833,0.05204461,0.035010941,0.024070022,0.004376368,48024,30451,0.9222,0.8843,-0.0123,345.17,0.034,3898,1.577091064,1.042858758
0,0,1,0,0,0,0,0,1,0,1,0,5,0.5,0.2,0.032305466,0.037209302,0.033185841,0.07300885,0.052995392,0.036866359,0.002304147,39943,27968,0.8996,0.8815,-0.0097,1840.4,0.0445,3785,1.428167906,1.020533182
1,1,0,0,0,0,1,1,0,0,0,0,6,0.56,0.33,-0.168692744,0.012345679,0.020645623,0.037219956,0.040089087,0.035634744,0.002227171,54061,35251,0.9551,0.8842,-0.0079,3279.7,0.0558,3865,1.533601884,1.080185478
1,1,0,0,0,0,1,1,0,0,0,0,6,0.33,0.33,-0.028732952,0.021798365,0.024804178,0.046997389,0.04308094,0.023498695,0.006527415,45058,27249,0.8708,0.6154,0.0332,-1957.5,0.0891,3895,1.653565268,1.415014625
0,1,1,1,0,0,0,1,0,1,0,0,5,1,0.67,0.096801347,0.054545455,0.028901734,0.072254335,0.042553191,0.029787234,0.008510638,69710,52190,0.9614,0.9602,-0.0074,1539.67,0.005,2271,1.335696494,1.00124974
0,1,1,1,0,0,0,1,0,1,0,0,5,1,1,0.04227621,0.051886792,0.051948052,0.123376623,0.044444444,0.031746032,0.006349206,54095,38687,0.968,0.8774,0.0146,-2980.97,0.0202,1623,1.398273322,1.103259631
1,1,0,0,0,0,0,1,0,0,0,1,4,0.59,0.32,-0.139285714,0.047445255,0.023030805,0.045021772,0.022304833,0.016728625,0.003717472,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
1,0,0,0,0,1,0,1,0,0,0,1,4,0.44,0.25,-0.048817951,0.014184397,0.017045455,0.040909091,0.027939464,0.01862631,0.003492433,60184,30676,0.9302,0.8803,0.0231,810,0.0145,2621,1.961924632,1.056685221
1,1,0,0,0,0,1,1,0,0,0,0,6,0.5,0.5,-0.107034775,0.035087719,0.02354049,0.049905838,0.028806584,0.019547325,0.00308642,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
1,1,0,0,0,0,1,1,0,0,0,0,6,0.55,0.46,-0.076918357,0.027472527,0.015426497,0.051724138,0.025961538,0.021153846,0.002884615,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
1,1,0,0,0,0,1,1,0,0,0,0,6,0.48,0.44,-0.117946139,0.032,0.015267176,0.028625954,0.023419204,0.016393443,0,52645,32010,0.9564,0.9041,0.0041,-581,0.0112,5193,1.644642299,1.057847583
0,1,1,1,0,0,0,1,0,1,0,0,5,1,1,0.039638932,0.093567251,0.042396268,0.094034147,0.025062657,0.012531328,0,54095,38687,0.968,0.8774,0.0146,-2980.97,0.0202,1623,1.398273322,1.103259631
0,0,0,1,1,1,0,1,0,1,1,1,5,0.5,0.25,-0.158524919,0.012765957,0.021276596,0.055319149,0.037296037,0.032634033,0.009324009,52982,29212,0.9353,0.8844,0.0117,-394,-0.0045,1846,1.813706696,1.057553143
1,1,0,0,0,1,1,1,0,0,0,0,5,0.43,0.43,-0.018775617,0.027237354,0.029850746,0.059701493,0.041152263,0.032921811,0.002057613,51524,35602,0.917,0.8392,0.0083,-1357.83,0.0083,3186,1.447222066,1.09270734
1,1,0,0,0,1,1,1,0,1,0,1,5,0.5,0.17,-0.14031568,0.039106145,0.031214888,0.071207865,0.029520295,0.014760148,0.003690037,51524,35602,0.917,0.8392,0.0083,-1357.83,0.0083,3186,1.447222066,1.09270734
0,0,0,1,0,1,0,1,0,1,0,0,4,0.71,0.57,-0.09062956,0.033333333,0.04886562,0.119546248,0.02247191,0.015917603,0.00093633,69710,52190,0.9614,0.9602,-0.0074,1539.67,0.005,2271,1.335696494,1.00124974
0,0,1,0,1,1,0,0,0,0,1,1,5,0.33,0.27,0.608341544,0.045801527,0.034246575,0.179452055,0.036789298,0.025083612,0.006688963,39384,31038,0.9487,0.8384,0.057,901.5,0.0036,3557,1.268896192,1.131560115
0,0,1,1,1,0,0,0,1,0,1,0,5,0.3,0.2,0.177041337,0.040540541,0.011827957,0.044086022,0.019354839,0.01827957,0.010752688,39888,29400,0.9462,0.8884,-0.039,7959,0.0576,2615,1.356734694,1.065060783
1,1,0,0,0,0,1,1,0,0,0,0,6,0.33,0.25,0.042206935,0.01744186,0.026595745,0.111702128,0.045333333,0.034666667,0.016,39621,28972,0.9083,0.8297,0.0179,-5907.25,-0.0086,3662,1.367561784,1.094733036
0,0,0,1,1,1,0,0,0,0,1,1,5,0.71,0.54,0.293755243,0.077097506,0.03125,0.133272059,0.040074557,0.033550792,0.01584343,48024,30451,0.9222,0.8843,-0.0123,345.17,0.034,3898,1.577091064,1.042858758
0,0,0,1,1,1,0,1,0,1,0,0,3,0.59,0.18,0.036324786,0.040498442,0.032467532,0.11525974,0.021089631,0.015817223,0,47556,32770,0.9697,0.91,-0.0026,2042.25,0.0043,2519,1.451205371,1.065604396
0,1,0,0,0,1,0,1,0,1,0,0,4,0.33,0.33,0.116132075,0.03902439,0.009708738,0.063106796,0.048571429,0.045714286,0.04,36696,28147,0.9153,0.8599,0.0825,7148.6,0.0277,2782,1.303726863,1.064426096
1,0,0,0,1,1,0,0,0,0,1,1,5,0.4,0.33,0.48994709,0.072340426,0.019434629,0.102473498,0.037181996,0.031311155,0.017612524,57012,31724,0.954,0.8142,0.0051,2206.5,0.0373,5487,1.797125205,1.171702284
0,0,1,1,0,0,1,0,1,0,0,0,4,0.5,0.4,0.045373467,0.03930131,0.052297901,0.229336702,0.044534413,0.030364372,0.018218623,42788,29187,0.8111,0.7804,-0.0193,-415.5,0.0161,1938,1.465995135,1.039338801
0,0,1,1,0,0,1,0,1,0,0,0,4,0.5,0.4,0.233986928,0.047058824,0.074257426,0.108910891,0.074712644,0.068965517,0.057471264,42788,29187,0.8111,0.7804,-0.0193,-415.5,0.0161,1938,1.465995135,1.039338801
0,0,0,0,1,1,0,0,0,0,1,1,6,0.46,0.34,0.060604162,0.009025271,0.018883512,0.05948176,0.019963702,0.01814882,0.009981851,49711,35007,0.9317,0.8756,-0.0057,4187.5,0.0136,5328,1.42003028,1.064070352
0,0,0,0,1,1,0,0,0,0,1,1,6,0.5,0.43,0.286686948,0.03562341,0.020061943,0.079151587,0.026936027,0.024691358,0.013468013,47774,32461,0.9382,0.8844,0.0904,2515.17,0.0345,4297,1.471735313,1.060832203
0,0,1,1,0,0,0,0,1,1,0,0,6,0.42,0.19,0.038365687,0.03358209,0.01532567,0.067049808,0.038314176,0.026819923,0.01532567,51172,32392,0.9478,0.8054,-0.0158,1138.75,0.0196,1348,1.579772783,1.176806556
0,0,0,0,1,1,0,0,0,0,1,1,6,0.62,0.49,0.498809524,0.054347826,0.02396008,0.101884232,0.032,0.025,0.019,48024,30451,0.9222,0.8843,-0.0123,345.17,0.034,3898,1.577091064,1.042858758
0,0,0,0,1,1,0,0,0,0,1,1,6,0.65,0.57,0.416498316,0.059139785,0.010706638,0.08137045,0.039614561,0.034261242,0.016059957,45863,33294,0.9381,0.9083,0.0092,947.33,0.036,3579,1.377515468,1.032808543
1,1,0,0,0,0,0,1,0,0,0,1,4,0.59,0.32,0.237134503,0.066115702,0.019713262,0.105734767,0.054054054,0.052123552,0.019305019,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
1,0,0,0,0,1,0,1,0,0,0,1,4,0.44,0.25,0.466711129,0.045296167,0.028720627,0.144908616,0.053876478,0.045992116,0.017082786,60184,30676,0.9302,0.8803,0.0231,810,0.0145,2621,1.961924632,1.056685221
0,0,1,1,0,0,0,0,1,0,1,1,3,0.31,0.19,0.005478109,0.046004843,0.024611399,0.103626943,0.03626943,0.020725389,0.012953368,45886,31111,0.8489,0.8639,0.0657,217.67,0.046,2670,1.47491241,0.982636879
0,0,1,1,0,0,0,0,1,1,0,0,6,0.64,0.36,0.036341829,0.089285714,0.020661157,0.140495868,0.061728395,0.04526749,0.012345679,55445,35148,0.8462,0.8071,-0.0214,4103.5,0.0025,2730,1.577472402,1.04844505
0,0,1,1,0,0,0,0,1,1,1,1,4,0.27,0.15,0.212052497,0.070564516,0.037918871,0.127865961,0.033928571,0.029464286,0.015178571,42475,29786,0.9375,0.8452,-0.0256,7564,-0.0402,-1510,1.426005506,1.109204922
1,1,0,0,0,1,1,1,0,1,0,1,5,0.33,0.33,0.055188732,0.019774011,0.027925532,0.103723404,0.035211268,0.029929577,0.012323944,73629,29759,0.9299,0.8256,-0.0038,-11749.6,-0.0008,7868,2.47417588,1.126332364
0,0,0,1,1,1,0,1,0,1,1,1,5,0.5,0.25,0.099492521,0.016877637,0.041015625,0.1875,0.040254237,0.027542373,0.01059322,52982,29212,0.9353,0.8844,0.0117,-394,-0.0045,1846,1.813706696,1.057553143
0,0,0,1,0,1,0,1,0,1,0,0,4,0.71,0.57,-0.121707943,0.002604167,0.017142857,0.11,0.027290448,0.023391813,0.011695906,69710,52190,0.9614,0.9602,-0.0074,1539.67,0.005,2271,1.335696494,1.00124974
0,0,1,1,1,0,0,0,0,0,1,1,3,0.28,0.28,0.131091618,0.017326733,0.020895522,0.044776119,0.025974026,0.025974026,0.018552876,43880,29032,0.914,0.8818,0.0033,-695.83,0.0014,1466,1.511435657,1.036516217
0,0,0,0,0,0,0,0,0,0,1,1,4,0.27,0.18,0.060918964,0.023648649,0.023886449,0.061739935,0.036549708,0.036549708,0.014619883,45052,28950,0.8636,0.803,-0.0131,-2654.5,-0.0249,832,1.556200345,1.075466999
0,0,1,1,0,0,0,0,1,1,1,1,4,0.27,0.15,0.002448908,0.028409091,0.044025157,0.166666667,0.050314465,0.050314465,0.028301887,45886,31111,0.8489,0.8639,0.0657,217.67,0.046,2670,1.47491241,0.982636879
0,0,1,1,0,1,0,0,1,1,0,0,5,1,0.67,-0.042249308,0.019138756,0.0136947,0.035769289,0.056701031,0.056701031,0.020618557,50771,31494,0.9266,0.9273,0.0025,-959.25,0.012,1870,1.612084842,0.99924512
0,0,1,1,0,0,0,0,1,0,1,0,4,0.5,0.5,-0.207801858,0.04,0.070833333,0.166666667,0.110619469,0.110619469,0.053097345,50582,33165,0.7902,0.6371,0.0067,-772,0.028,1636,1.525162068,1.240307644
0,0,0,1,1,1,0,0,0,0,1,1,5,0.71,0.54,-0.100239016,0.025345622,0.052399167,0.096253559,0.044491525,0.038135593,0.016949153,48024,30451,0.9222,0.8843,-0.0123,345.17,0.034,3898,1.577091064,1.042858758
1,1,0,0,0,0,1,1,0,0,0,0,6,0.33,0.25,-0.133265083,0.024875622,0.023913043,0.073913043,0.048723898,0.044083527,0.011600928,39621,28972,0.9083,0.8297,0.0179,-5907.25,-0.0086,3662,1.367561784,1.094733036
1,0,1,0,0,0,0,1,1,1,1,0,2,0.5,0.25,-0.058277716,0.103448276,0.055102041,0.202040816,0.042666667,0.034666667,0.016,42786,29201,0.9218,0.8985,0.0483,4174.33,0.0185,2633,1.465223794,1.025932109
0,0,0,0,1,1,0,0,0,0,1,1,6,0.5,0.43,-0.125897529,0.066666667,0.026623377,0.061255411,0.062695925,0.056426332,0.018808777,47774,32461,0.9382,0.8844,0.0904,2515.17,0.0345,4297,1.471735313,1.060832203
0,0,1,0,0,0,1,0,1,0,0,0,5,0.42,0.21,-0.110308972,0.025270758,0.039355742,0.118300654,0.062656642,0.05764411,0.037593985,39943,27968,0.8996,0.8815,-0.0097,1840.4,0.0445,3785,1.428167906,1.020533182
0,0,1,1,1,0,0,0,1,0,1,0,5,0.3,0.2,0.150640389,0.03652968,0.035642505,0.090443465,0.031712474,0.029598309,0.012684989,39888,29400,0.9462,0.8884,-0.039,7959,0.0576,2615,1.356734694,1.065060783
1,1,0,0,0,0,0,1,0,0,0,1,4,0.59,0.32,0.108394643,0.046025105,0.040322581,0.112903226,0.058467742,0.056451613,0.022177419,62298,31680,0.9653,0.8843,0.0158,3247.17,0.0223,5212,1.966477273,1.091597874
1,0,0,0,0,1,0,1,0,0,0,1,4,0.44,0.25,-0.018128655,0.040540541,0.034656085,0.117416226,0.049800797,0.045816733,0.021912351,60184,30676,0.9302,0.8803,0.0231,810,0.0145,2621,1.961924632,1.056685221
0,0,1,1,1,0,0,0,1,1,0,0,5,0.39,0.22,-0.043763494,0.016339869,0.035247432,0.098806189,0.04248366,0.040849673,0.013071895,67037,32953,0.9112,0.8466,0.0008,3663.33,0.0062,2950,2.03432161,1.076305221
0,0,1,0,0,0,0,1,0,0,0,1,3,0.29,0.24,0.053703704,0.029761905,0.020408163,0.038265306,0.035714286,0.035714286,0.015306122,45052,28950,0.8636,0.803,-0.0131,-2654.5,-0.0249,832,1.556200345,1.075466999
1,0,0,0,1,1,0,0,0,0,1,1,5,0.4,0.33,0.262974592,0.068111455,0.034721321,0.077334693,0.058536585,0.056097561,0.024390244,60184,30676,0.9302,0.8803,0.0231,810,0.0145,2621,1.961924632,1.056685221
0,0,0,1,1,1,0,0,0,0,1,1,5,0.71,0.54,0.086523161,0.047945205,0.026359079,0.071060465,0.05192108,0.050882658,0.023883697,48024,30451,0.9222,0.8843,-0.0123,345.17,0.034,3898,1.577091064,1.042858758
0,0,1,1,0,0,0,0,0,1,1,0,4,0.33,0.33,-0.083527584,0.033057851,0.076947884,0.130546956,0.0781893,0.0781893,0.04526749,49640,27946,0.7391,0.7326,-0.0628,-839.33,0.0557,-702,1.776282831,1.008872509
0,0,1,1,1,1,0,0,0,0,1,1,4,0.36,0.21,-0.030845698,0.066793893,0.02173913,0.055765595,0.033596838,0.032608696,0.013833992,74074,34554,0.8597,0.6386,0.0225,-59,0.024,4410,2.143717081,1.34622612
0,0,1,1,0,0,0,0,1,1,1,1,4,0.27,0.15,0.165407355,0.072319202,0.015116279,0.037209302,0.053775744,0.053775744,0.029748284,45886,31111,0.8489,0.8639,0.0657,217.67,0.046,2670,1.47491241,0.982636879
0,0,1,1,0,0,0,0,1,0,1,0,4,0.5,0.5,-0.078397658,0.120218579,0.013888889,0.036111111,0.055555556,0.055555556,0.013888889,50582,33165,0.7902,0.6371,0.0067,-772,0.028,1636,1.525162068,1.240307644
1,0,0,0,1,1,0,0,0,0,1,1,5,0.71,0.71,0.601893939,0.046610169,0.009836066,0.027868852,0.049180328,0.049180328,0.029508197,44760,32274,0.9412,0.8835,0.0913,-4340.8,-0.0179,-553,1.386874884,1.065308432
0,0,0,0,1,1,0,0,0,0,1,1,6,0.5,0.43,0.125658762,0.040462428,0.005012531,0.021303258,0.04887218,0.04887218,0.018796992,47774,32461,0.9382,0.8844,0.0904,2515.17,0.0345,4297,1.471735313,1.060832203
